Marca,Modelo,Precio,Tipo_Combustible,Año,kms,CV,N_Puertas,Tipo_Cambio,color,N_Fotos,Provincia,TDG
2,417,8999,3,2005.0,199000,218.0,2,3,4,30,29,-21.088787643071452
1,134,19900,3,2019.0,17788,115.0,2,2,4,22,16,0.1120603015075377
1,449,4500,3,2007.0,86000,80.0,1,2,4,14,4,-18.092666666666666
3,321,60190,3,2019.0,0,150.0,2,3,3,10,2,1.0025917926565875
3,382,89250,4,2021.0,1,390.0,2,3,4,29,45,1.0044257703081232
2,681,20300,4,2020.0,1,120.0,2,2,2,20,29,1.0060591133004926
1,297,8500,4,2013.0,120000,124.0,2,2,4,7,39,-13.102705882352941
1,686,16490,3,2017.0,79900,178.0,2,2,2,30,29,-3.8343844754396605
2,108,2000,3,2002.0,325000,130.0,2,2,2,0,5,-161.433
1,138,3500,4,2006.0,229193,170.0,1,2,4,19,44,-64.43428571428572
1,479,31600,3,2020.0,1,150.0,2,3,4,12,29,1.0048417721518987
2,70,16875,4,2019.0,12000,145.0,1,2,4,22,7,0.2977185185185185
3,237,32000,3,2020.0,20100,116.0,2,3,4,13,29,0.3756875
1,854,20900,3,2018.0,61823,125.0,2,2,4,16,2,-1.951913875598086
1,407,10490,4,2006.0,148252,200.0,2,3,4,36,39,-13.113250714966634
2,735,16000,3,2011.0,91000,184.0,2,3,2,9,23,-4.6756875
1,174,17000,3,2020.0,5,102.0,2,2,4,15,15,1.0058823529411764
2,637,32900,3,2018.0,11700,150.0,2,3,4,19,2,0.6490881458966565
2,780,19500,3,2014.0,210000,184.0,1,2,3,12,2,-9.759589743589743
2,864,22900,3,2017.0,70000,150.0,2,3,3,54,12,-2.05
1,919,14500,5,2019.0,2000,82.0,1,3,4,21,29,0.868
1,719,19500,3,2015.0,58000,150.0,1,2,3,6,18,-1.9665128205128206
3,742,6490,4,2005.0,260556,298.0,2,3,4,23,29,-39.10046224961479
1,798,17300,3,2014.0,91473,140.0,2,3,4,37,33,-4.279132947976879
3,254,14500,3,2007.0,175000,224.0,2,3,4,12,2,-11.053103448275863
2,103,7490,3,2012.0,220000,105.0,2,2,3,16,29,-28.357943925233645
3,241,30000,3,2018.0,14000,136.0,2,2,4,11,29,0.5380333333333334
1,138,21400,4,2019.0,1,145.0,2,2,4,6,7,1.0068691588785046
3,243,4999,4,2002.0,160000,170.0,3,3,4,1,2,-30.97119423884777
1,899,5850,3,2008.0,159000,120.0,2,2,4,9,51,-26.158461538461538
2,103,17350,3,2016.0,57054,110.0,2,2,4,21,41,-2.281844380403458
1,550,3500,3,2007.0,140000,70.0,2,2,3,8,29,-38.979142857142854
1,268,9900,3,2016.0,58000,120.0,2,3,3,10,17,-4.846060606060606
1,455,8300,3,2016.0,173707,136.0,2,2,4,18,49,-19.911807228915663
1,21,16800,3,2018.0,29000,120.0,2,2,4,13,34,-0.7188690476190476
